Country Name,Country Code,JO Year,PIB_mean
Lesotho,LSO,2012,1044.3849889166488
de dividende tardif démographique,LTE,2012,6142.252870862495
Lituanie,LTU,2012,13225.2179099478
Luxembourg,LUX,2012,114938.23336736276
Lettonie,LVA,2012,12941.15839571565
"Région administrative spéciale de Macao, Chine",MAC,2012,49718.15029965035
Saint-Martin (fr),MAF,2012,20930.5850690939
Maroc,MAR,2012,3168.1907958984402
Monaco,MCO,2012,178657.99232566677
Moldova,MDA,2012,2346.7886005832174
Madagascar,MDG,2012,478.76703040851777
Maldives,MDV,2012,7022.395223682447
"Moyen-Orient, Afrique du Nord, Afghanistan et Pakistan",MEA,2012,4917.018693175458
Mexique,MEX,2012,9835.158265479908
Îles Marshall,MHL,2012,3034.7728353752727
Revenu intermédiaire,MIC,2012,3458.3427079710127
Macédoine du Nord,MKD,2012,5019.110030898112
Mali,MLI,2012,851.4242495857313
Malte,MLT,2012,22238.802073715826
Myanmar,MMR,2012,910.2621458716825
Afrique du Nord et Moyen-Orient (hors revenu élevé),MNA,2012,2803.070586312542
Monténégro,MNE,2012,7027.2272911847795
Mongolie,MNG,2012,2548.003795605665
Mariannes,MNP,2012,14792.550132562024
Mozambique,MOZ,2012,563.5546469095805
Mauritanie,MRT,2012,1665.5391556851325
Maurice,MUS,2012,8136.399528328935
Malawi,MWI,2012,656.5260613442788
Malaisie,MYS,2012,8669.92658678904
Amérique du Nord,NAC,2012,48444.392920059974
Namibie,NAM,2012,4940.1768492371975
Nouvelle-Calédonie,NCL,2012,36048.81151522202
Niger,NER,2012,480.34043586578997
Nigéria,NGA,2012,2148.8154183334127
Nicaragua,NIC,2012,1549.2615604382374
Pays-Bas,NLD,2012,54356.5588762969
Norvège,NOR,2012,91809.03322917075
Népal,NPL,2012,577.173322824214
Nauru,NRU,2012,4828.858686863618
Nouvelle-Zélande,NZL,2012,32948.78574554433
Pays membres de l'OCDE,OED,2012,35665.068022154876
Oman,OMN,2012,23997.721124087948
Autres petits états,OSS,2012,10718.013245221433
Pakistan,PAK,2012,1037.4677553789475
Panama,PAN,2012,8284.5692023198
Pérou,PER,2012,4828.061219403137
Philippines,PHL,2012,2092.643863372875
Palaos,PLW,2012,10492.035084017225
Papouasie-Nouvelle-Guinée,PNG,2012,1837.2174857405926
Pologne,POL,2012,13010.065465581349
de Pré-dividende démographique,PRE,2012,1406.1675719023924
Puerto Rico (US),PRI,2012,26063.004547956374
"Corée, République démocratique de",PRK,2012,
Portugal,PRT,2012,23474.68360255055
Paraguay,PRY,2012,4720.791782823918
Cisjordanie et Gaza,PSE,2012,2416.2145473081055
Petits états insulaires du Pacifique,PSS,2012,2976.8471062280446
de Post-dividende démographique,PST,2012,40366.20402470505
Polynésie française,PYF,2012,24088.1428200331
Qatar,QAT,2012,80553.99310045542
Roumanie,ROU,2012,9235.955853794276
Fédération de Russie,RUS,2012,11294.607666015625
Rwanda,RWA,2012,584.2810233267397
Asie du Sud,SAS,2012,1175.9363289696917
Arabie saoudite,SAU,2012,22298.5050196746
Soudan,SDN,2012,1336.0243530273451
Sénégal,SEN,2012,1339.5114292810676
Singapour,SGP,2012,45015.879399211175
Îles Salomon,SLB,2012,1672.4414812786076
Sierra Leone,SLE,2012,701.0977149790442
El Salvador,SLV,2012,3066.0270794237954
Saint-Marin,SMR,2012,62618.927292458204
République fédérale de Somalie,SOM,2012,302.019773621329
Serbie,SRB,2012,6710.99820037502
Afrique subsaharienne (hors revenu élevé),SSA,2012,1725.03811809659
Soudan du Sud,SSD,2012,1481.1717307150475
Afrique subsaharienne,SSF,2012,1585.8004160794749
Petits états,SST,2012,10222.15813561048
Sao Tomé-et-Principe,STP,2012,1118.790098461985
Suriname,SUR,2012,7399.788956513643
République slovaque,SVK,2012,17674.9890301425
Slovénie,SVN,2012,25058.559099712525
Suède,SWE,2012,53861.97720568755
Eswatini,SWZ,2012,3636.220099940128
Sint Maarten (Dutch part),SXM,2012,26416.581625632232
Seychelles,SYC,2012,11014.354531237677
République arabe syrienne,SYR,2012,2643.5212430539923
Îles Turques-et-Caïques,TCA,2012,25692.823205381927
Tchad,TCD,2012,1162.9872278547175
Asie de l’Est et Pacifique (BIRD et IDA),TEA,2012,3907.0044382672904
Europe et Asie centrale (BIRD et IDA),TEC,2012,8572.098952222199
Togo,TGO,2012,732.154874958296
Thaïlande,THA,2012,4698.015283496407
Tadjikistan,TJK,2012,734.765973263877
Turkménistan,TKM,2012,4128.91028038888
Amérique latine et Caraïbes (BIRD et IDA),TLA,2012,8691.994813010187
Timor-Leste,TLS,2012,766.7094833621301
Afrique du Nord et Moyen-Orient (BIRD et IDA),TMN,2012,2805.615170698115
Tonga,TON,2012,3349.6920258727523
Asie du Sud (BIRD et IDA),TSA,2012,1175.9363289696917
Afrique subsaharienne (BIRD et IDA),TSS,2012,1585.8004160794749
Trinité-et-Tobago,TTO,2012,17974.890696632676
Tunisie,TUN,2012,4261.91233391604
Turquie,TUR,2012,10444.997604379909
Tuvalu,TUV,2012,3108.293687147303
Tanzanie,TZA,2012,720.4309234619143
Ouganda,UGA,2012,732.7244940679842
Ukraine,UKR,2012,3330.3061523437527
"Revenu intermédiaire, tranche supérieure",UMC,2012,5491.613169429757
Uruguay,URY,2012,11769.67165367231
États-Unis,USA,2012,48608.13048931147
Ouzbékistan,UZB,2012,1530.3999516151325
Saint-Vincent-et-les Grenadines,VCT,2012,6535.587854086072
Venezuela,VEN,2012,11837.320312608024
Îles Vierges britanniques,VGB,2012,
Îles Vierges (EU),VIR,2012,39201.9558349212
Viet Nam,VNM,2012,1506.0221461082524
Vanuatu,VUT,2012,2782.0916328496724
Monde,WLD,2012,9552.881610791515
